Period,People,Men,Women,sd
Nov to Jan 2012,8.337618963728,8.896341632315,7.692026803742,0.1
,8.279171746205,8.770021304074,7.710340668534,0.1
,8.203023291325,8.707425792922,7.618624050036,0.1
,8.169826618540,8.647735110385,7.615479098498,0.1
,8.097634166936,8.575458344299,7.542753708578,0.1
,8.008366857893,8.452435565005,7.492641474905,0.1
May to Jul 2012,8.058186936088,8.545096785048,7.494741005206,0.1
,7.885838698153,8.332620547705,7.368592618743,0.1
,7.858881576058,8.258399461780,7.396581684809,0.1
,7.855567493386,8.268083512159,7.377015352299,0.1
,7.820595855792,8.179088755981,7.406650962074,0.1
,7.818122337445,8.181117887395,7.400078229682,0.1
Nov to Jan 2013,7.828704432914,8.268915138442,7.321550454459,0.1
,7.980026665155,8.356782637637,7.547476551387,0.1
,7.849850895981,8.303114052888,7.329243892905,0.1
,7.798394635650,8.209662749246,7.326613797787,0.1
,7.753880549720,8.253858174811,7.178751403767,0.1
,7.746002782859,8.269129152710,7.143643304271,0.1
May to Jul 2013,7.668407780941,8.172167667403,7.088338143067,0.1
,7.690985902008,8.140725616857,7.173177169752,0.1
,7.612645534365,7.952694519001,7.221264176698,0.1
,7.374739566239,7.739874646601,6.955346272353,0.1
,7.170755621192,7.516173578235,6.773288639631,0.1
,7.227406558807,7.579418137687,6.823080980973,0.1
Nov to Jan 2014,7.171694338855,7.391904094628,6.918903791680,0.1
,6.893654974382,7.201242699385,6.540418948740,0.1
,6.762184038944,7.037705290724,6.445940746127,0.1
,6.598652448781,6.865057134592,6.293144218061,0.1
,6.419642868309,6.620524214260,6.190107435047,0.1
,6.285297334109,6.515223938732,6.022545918836,0.1
May to Jul 2014,6.141339609534,6.405786249405,5.839224448636,0.1
,6.007282987197,6.262795834022,5.715481653571,0.1
,5.963297915327,6.205589070042,5.686283515530,0.1
,5.964108430738,6.233980909006,5.655984594940,0.1
,5.871371751667,6.135223651253,5.570370065392,0.1
,5.713943557774,5.970881059318,5.421015022310,0.1
Nov to Jan 2015,5.670487536900,5.863736097036,5.450200181788,0.1
,5.586620413798,5.755003681049,5.394132443518,0.1
,5.550096812713,5.722459161783,5.352924970135,0.1
,5.518101872629,5.719844681170,5.287854311649,0.1
,5.607761950272,5.772939949016,5.420015018448,0.1
,5.601129216470,5.771520781047,5.407066454426,0.1
May to Jul 2015,5.514911517329,5.621339265447,5.393643954798,0.1
,5.373080972737,5.518932243675,5.206388540484,0.1
,5.288693295291,5.431930760242,5.125278434229,0.1
,5.184773292915,5.318886746984,5.031115442658,0.1
,5.076842783398,5.216391345719,4.917085050518,0.1
,5.099483022613,5.207448064413,4.975618393548,0.1
Nov to Jan 2016,5.087590042512,5.199363942810,4.959257562708,0.1
,5.116303933252,5.222517970206,4.994083984051,0.1
,5.086588537155,5.160385838447,5.001919385182,0.1
,5.022712701151,5.022928137353,5.022465984400,0.1
,4.934685111503,5.080669143981,4.767968225040,0.1
,4.913662261302,5.000502547624,4.814449204262,0.1
May to Jul 2016,4.885593397848,5.055077802435,4.691826829806,0.1
,4.948802059784,4.996129260745,4.894785481460,0.1
,4.801996126307,4.921948992530,4.665271763146,0.1
,4.840341849932,5.001926922757,4.656714430024,0.1
,4.801265584408,4.968592232761,4.611187980240,0.1
,4.776618718601,4.932928387464,4.599152827857,0.1
Nov to Jan 2017,4.737787247925,4.868978929912,4.588350909448,0.1
