Period,People_Rate,Men_Rate,Women_Rate,sd_rates,People_Total,Men_Total,Women_Total,sd_Total,sd_Men_Total,sd_Women_Total
Nov to Jan 2012,8.337618964,8.896341632,7.692026804,0.1,2670,1527,1143,32.02353108,17.16435882,14.8595426
,8.279171746,8.770021304,7.710340669,0.1,2653,1509,1144,32.04426821,17.20634361,14.8372173
,8.203023291,8.707425793,7.61862405,0.1,2633,1500,1133,32.09792179,17.22667566,14.87145176
,8.169826619,8.64773511,7.615479098,0.1,2624,1492,1132,32.11818466,17.25307241,14.86446204
,8.097634167,8.575458344,7.542753709,0.1,2605,1482,1123,32.16988995,17.2818751,14.88846174
,8.008366858,8.452435565,7.492641475,0.1,2582,1464,1118,32.24128022,17.32045147,14.92130651
May to Jul 2012,8.058186936,8.545096785,7.494741005,0.1,2607,1483,1124,32.35219064,17.3549819,14.99718268
,7.885838698,8.332620548,7.368592619,0.1,2550,1446,1104,32.33644635,17.35348432,14.98250829
,7.858881576,8.258399462,7.396581685,0.1,2538,1431,1107,32.29467165,17.32781281,14.96637294
,7.855567493,8.268083512,7.377015352,0.1,2536,1434,1102,32.28283637,17.34380159,14.93829072
,7.820595856,8.179088756,7.406650962,0.1,2532,1419,1113,32.37604968,17.34912094,15.02703456
,7.818122337,8.181117887,7.40007823,0.1,2536,1420,1116,32.43745609,17.35704117,15.08092165
Nov to Jan 2013,7.828704433,8.268915138,7.321550454,0.1,2538,1435,1103,32.41915724,17.35415077,15.06511506
,7.980026665,8.356782638,7.547476551,0.1,2585,1447,1138,32.39337547,17.31527626,15.07788719
,7.849850896,8.303114053,7.329243893,0.1,2542,1437,1105,32.38278069,17.30675974,15.07658929
,7.798394636,8.209662749,7.326613798,0.1,2527,1421,1106,32.40410518,17.30887179,15.09565033
,7.75388055,8.253858175,7.178751404,0.1,2510,1429,1081,32.37088815,17.31311551,15.05832894
,7.746002783,8.269129153,7.143643304,0.1,2514,1436,1078,32.45544922,17.36579479,15.09033912
May to Jul 2013,7.668407781,8.172167667,7.088338143,0.1,2492,1422,1070,32.4969677,17.40052405,15.09521666
,7.690985902,8.140725617,7.17317717,0.1,2502,1417,1085,32.53158999,17.40631077,15.12579397
,7.612645534,7.952694519,7.221264177,0.1,2481,1387,1094,32.59050995,17.44062967,15.14970195
,7.374739566,7.739874647,6.955346272,0.1,2406,1350,1056,32.6248809,17.44214295,15.18256545
,7.170755621,7.516173578,6.77328864,0.1,2340,1312,1028,32.63254423,17.45569054,15.1772655
,7.227406559,7.579418138,6.823080981,0.1,2359,1322,1037,32.63964716,17.44197214,15.19841261
Nov to Jan 2014,7.171694339,7.391904095,6.918903792,0.1,2343,1291,1052,32.67010401,17.46505343,15.20472074
,6.893654974,7.201242699,6.540418949,0.1,2257,1260,997,32.74025185,17.49698007,15.24367182
,6.762184039,7.037705291,6.445940746,0.1,2214,1231,983,32.74090127,17.49149686,15.24990748
,6.598652449,6.865057135,6.293144218,0.1,2164,1202,962,32.7945746,17.50895843,15.28647631
,6.419642868,6.620524214,6.190107435,0.1,2109,1160,949,32.8522948,17.52127116,15.33091323
,6.285297334,6.515223939,6.022545919,0.1,2060,1139,921,32.77490134,17.48213125,15.29253595
May to Jul 2014,6.14133961,6.405786249,5.839224449,0.1,2009,1117,892,32.71273252,17.43735986,15.27600125
,6.007282987,6.262795834,5.715481654,0.1,1969,1095,874,32.77688107,17.484204,15.29179959
,5.963297915,6.20558907,5.686283516,0.1,1955,1085,870,32.78387275,17.48423861,15.29997577
,5.964108431,6.233980909,5.655984595,0.1,1956,1090,866,32.79618442,17.48481453,15.31121568
,5.871371752,6.135223651,5.570370065,0.1,1924,1071,853,32.76917356,17.45657634,15.31316573
