Date,DateLabel,Number of unemployed people,Number of unemployed people (1000s),95%CI,95%CI (in thousands)
Aug-Oct 2013,Oct-13,2481000,2481,84000,84
Sep-Nov 2013,,2370000,2370,82000,82
Oct-Dec 2013,,2315000,2315,82000,82
Nov-Jan 2014, ,2287000,2287,81000,81
Dec-Feb 2014,,2225000,2225,80000,80
Jan-Mar 2014,,2197000,2197,78000,78
Feb-Apr 2014, ,2112000,2112,78000,78
Mar-May 2014,,2040000,2040,77000,77
Apr-Jun 2014,,2031000,2031,77000,77
May-Jul 2014, ,2047000,2047,77000,77
Jun-Aug 2014,,2042000,2042,76000,76
Jul-Sep 2014,,2045000,2045,76000,76
Aug-Oct 2014,Oct-14,2028000,2028,78000,78
Sep-Nov 2014,,1947000,1947,76000,76
Oct-Dec 2014,,1828000,1828,74000,74
Nov-Jan 2015, ,1807000,1807,73000,73
Dec-Feb 2015,,1810000,1810,74000,74
Jan-Mar 2015,,1816000,1816,74000,74
Feb-Apr 2015, ,1767000,1767,73000,73
Mar-May 2015,,1780000,1780,75000,75
Apr-Jun 2015,,1821000,1821,76000,76
May-Jul 2015, ,1858000,1858,76000,76
Jun-Aug 2015,,1846000,1846,76000,76
Jul-Sep 2015,,1838000,1838,75000,75
Aug-Oct 2015,Oct-15,1789000,1789,74000,74
Sep-Nov 2015,,1705000,1705,72000,72
Oct-Dec 2015,,1646000,1646,71000,71
Nov-Jan 2016, ,1634000,1634,72000,72
Dec-Feb 2016,,1671000,1671,72000,72
Jan-Mar 2016,,1679000,1679,73000,73
Feb-Apr 2016, ,1621000,1621,70000,70
Mar-May 2016,,1582000,1582,70000,70
Apr-Jun 2016,,1616000,1616,72000,72
May-Jul 2016, ,1669000,1669,74000,74
Jun-Aug 2016,,1733000,1733,76000,76
Jul-Sep 2016,,1692000,1692,76000,76
Aug-Oct 2016,Oct-16,1686000,1686,77000,77
Sep-Nov 2016,,1618000,1618,75000,75
Oct-Dec 2016,,1547000,1547,74000,74
Nov-Jan 2017, ,1526000,1526,73000,73
Dec-Feb 2017,,1524000,1524,73000,73
Jan-Mar 2017,,1527000,1527,72000,72
Feb-Apr 2017, ,1479000,1479,70000,70
Mar-May 2017,,1428000,1428,69000,69
Apr-Jun 2017,,1457000,1457,71000,71
May-Jul 2017, ,1490000,1490,72000,72
Jun-Aug 2017,,1515000,1515,72000,72
Jul-Sep 2017,,1501000,1501,72000,72
Aug-Oct 2017,Oct-17,1496000,1496,72000,72
Sep-Nov 2017,,1453000,1453,70000,70
Oct-Dec 2017,,1427000,1427,70000,70
Nov-Jan 2018, ,1405000,1405,69000,69
Dec-Feb 2018,,1393000,1393,70000,70
Jan-Mar 2018,,1417000,1417,70000,70
Feb-Apr 2018, ,1374000,1374,69000,69
Mar-May 2018,,1347000,1347,70000,70
Apr-Jun 2018,,1334000,1334,69000,69
May-Jul 2018, ,1391000,1391,71000,71
Jun-Aug 2018,,1428000,1428,72000,72
Jul-Sep 2018,,1450000,1450,73000,73
Aug-Oct 2018,Oct-18,1449000,1449,73000,73
